STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,500,1800,1100,6/06/2023
Karnataka,davangere,Davangere,Potato,Potato,FAQ,1200,1500,1300,6/06/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,800,1600,1200,6/06/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1300,1500,1400,6/06/2023
Karnataka,mandya,Mandya,Tomato,Tomato,FAQ,1000,1000,1000,6/06/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1000,1850,1400,6/06/2023
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ,2200,2800,2500,6/06/2023
Karnataka,udupi,Udupi,Tomato,Tomato,FAQ,2300,2400,2400,6/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1500,2000,1750,6/06/2023
Karnataka,mandya,K.R. Pet,Onion,Onion,FAQ,1200,1200,1200,6/06/2023
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,6/06/2023
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ,1415,1615,1515,6/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,670,2130,1330,6/06/2023
Karnataka,bellary,Hospet,Onion,Local,FAQ,1000,1200,1200,6/06/2023
Karnataka,bangalore,Ramanagara,Onion,Onion,FAQ,800,1600,1200,6/06/2023
Karnataka,davangere,Davangere,Tomato,Tomato,FAQ,2500,2800,2600,6/06/2023
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ,1400,1800,1600,6/06/2023
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ,2093,2293,2193,6/06/2023
Karnataka,hassan,Hassan,Potato,Potato,FAQ,1050,1666,1666,6/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1300,1450,1370,6/06/2023
Karnataka,bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,6/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,1500,2000,1500,6/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1270,630,6/06/2023
Karnataka,chikmagalur,Kadur,Tomato,Tomato,FAQ,714,714,714,6/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,1400,1200,7/06/2023
Karnataka,hassan,Channarayapatna,Onion,Local,FAQ,1000,1000,1000,7/06/2023
Karnataka,hassan,Hassan,Tomato,Tomato,FAQ,1500,3000,2220,7/06/2023
Karnataka,bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,7/06/2023
Karnataka,hassan,Hassan,Onion,Other,FAQ,576,1543,1050,7/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,2000,2000,2000,7/06/2023
Karnataka,mysore,Mysore (Bandipalya),Tomato,Tomato,FAQ,1900,2100,2000,7/06/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1600,1700,1700,7/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1000,1000,7/06/2023
Karnataka,udupi,Udupi,Tomato,Tomato,FAQ,2600,2800,2700,7/06/2023
Karnataka,bellary,Hospet,Onion,Local,FAQ,800,1000,900,7/06/2023
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ,1884,2084,1984,7/06/2023
Karnataka,chikmagalur,Kadur,Tomato,Tomato,FAQ,1316,1665,1388,7/06/2023
Karnataka,haveri,Ranebennur,Onion,Local,Medium,900,1200,1000,7/06/2023
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ,2000,3500,3000,7/06/2023
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,7/06/2023
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ,580,1100,750,7/06/2023
Karnataka,shimoga,Shimoga,Potato,Local,FAQ,1600,2000,1800,7/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,530,2130,1330,7/06/2023
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ,1400,1800,1600,7/06/2023
Karnataka,chikmagalur,Kadur,Onion,Onion,FAQ,1281,1388,1281,7/06/2023
Karnataka,davangere,Davangere,Onion,Onion,FAQ,300,1300,850,7/06/2023
Karnataka,bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,7/06/2023
Karnataka,mandya,Mandya,Tomato,Tomato,FAQ,1000,2000,1000,7/06/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2000,3500,3000,7/06/2023
Karnataka,bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1800,2200,2000,7/06/2023
Karnataka,kolar,Srinivasapur,Tomato,Tomato,FAQ,533,2200,1867,7/06/2023
Karnataka,bangalore,Bangalore,Potato,Local,FAQ,1600,1800,1700,7/06/2023
Karnataka,mandya,Mandya,Potato,Potato,FAQ,2500,2500,2500,7/06/2023
Karnataka,hassan,Hassan,Potato,Potato,FAQ,550,1666,1043,7/06/2023
Karnataka,davangere,Davangere,Tomato,Tomato,FAQ,2500,2800,2600,7/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,330,2000,1200,7/06/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,8,16,14,7/06/2023
Karnataka,bangalore,Doddaballa Pur,Tomato,Tomato,FAQ,1000,1600,1300,7/06/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1200,2300,2000,7/06/2023
Karnataka,bellary,Hospet,Tomato,Tomato,FAQ,1300,1500,1500,7/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Onion,FAQ,1800,2500,2200,7/06/2023
Karnataka,kolar,Gowribidanoor,Tomato,Tomato,FAQ,1900,2500,2200,7/06/2023
Karnataka,hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,7/06/2023
Karnataka,belgaum,Belgaum,Tomato,Tomato,FAQ,2000,2200,2100,7/06/2023
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ,1636,1836,1736,7/06/2023
Karnataka,belgaum,Belgaum,Onion,Pusa-Red,FAQ,1000,1500,1200,7/06/2023
Karnataka,davangere,Davangere,Potato,Potato,FAQ,1200,1500,1400,7/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3000,2700,7/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,7/06/2023
Karnataka,udupi,Udupi,Potato,Potato,FAQ,1600,1800,1700,7/06/2023
Karnataka,bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,7/06/2023
Karnataka,bangalore,Doddaballa Pur,Onion,Onion,FAQ,1200,1600,1400,7/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,400,1500,820,7/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2600,1500,7/06/2023
Karnataka,shimoga,Shimoga,Tomato,Tomato,FAQ,20,32,25,7/06/2023
Karnataka,bellary,Hospet,Potato,Potato,FAQ,1300,1600,1400,7/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1000,1500,1400,7/06/2023
Karnataka,mandya,Mandya,Onion,Onion,FAQ,2000,2000,2000,7/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1150,580,7/06/2023
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,500,2000,1200,7/06/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2000,3200,2500,8/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3000,2700,8/06/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1200,2300,2000,8/06/2023
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ,2000,3200,2500,8/06/2023
Karnataka,bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,8/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,670,2000,1270,8/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,330,2130,1260,8/06/2023
Karnataka,mandya,Mandya,Tomato,Tomato,FAQ,1500,2200,2000,8/06/2023
Karnataka,davangere,Davangere,Onion,Onion,FAQ,300,1300,800,8/06/2023
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,400,2000,1200,8/06/2023
Karnataka,bangalore,Bangalore,Potato,Local,FAQ,1600,1800,1700,8/06/2023
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,8/06/2023
Karnataka,bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,8/06/2023
Karnataka,shimoga,Shimoga,Tomato,Tomato,FAQ,1600,2400,2000,8/06/2023
Karnataka,chikmagalur,Kadur,Tomato,Tomato,FAQ,1041,1665,1514,8/06/2023
Karnataka,bangalore,Doddaballa Pur,Onion,Onion,FAQ,1500,2000,1700,8/06/2023
Karnataka,bangalore,Doddaballa Pur,Tomato,Tomato,FAQ,1200,2000,1600,8/06/2023
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ,1852,1852,1852,8/06/2023
Karnataka,hassan,Hassan,Tomato,Tomato,FAQ,3000,3000,3000,8/06/2023
Karnataka,udupi,Udupi,Tomato,Tomato,FAQ,2600,2800,2700,8/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Onion,FAQ,2000,3000,2500,8/06/2023
Karnataka,belgaum,Belgaum,Tomato,Tomato,FAQ,2000,2500,2300,8/06/2023
Karnataka,bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1900,2300,2100,8/06/2023
Karnataka,kolar,Srinivasapur,Tomato,Tomato,FAQ,533,2333,1733,8/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1000,1500,1200,8/06/2023
Karnataka,mysore,Mysore (Bandipalya),Tomato,Tomato,FAQ,2300,2500,2400,8/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,1500,1500,1500,8/06/2023
Karnataka,davangere,Davangere,Tomato,Tomato,FAQ,2000,2800,2500,8/06/2023
Karnataka,kolar,Chintamani,Onion,Onion,FAQ,800,1500,1000,8/06/2023
Karnataka,mandya,K.R. Pet,Tomato,Tomato,FAQ,1000,1000,1000,8/06/2023
Karnataka,udupi,Udupi,Potato,Potato,FAQ,1600,1800,1700,8/06/2023
Karnataka,hassan,Hassan,Onion,Other,FAQ,750,1320,1000,8/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1150,1400,1250,8/06/2023
Karnataka,shimoga,Shimoga,Potato,Local,FAQ,1600,2000,1800,8/06/2023
Karnataka,bijapur,Bijapur,Onion,Onion,FAQ,200,1000,600,8/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,300,1700,850,8/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,200,1250,600,8/06/2023
Karnataka,chikmagalur,Kadur,Onion,Onion,FAQ,1281,1281,1281,8/06/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1600,1700,1700,8/06/2023
Karnataka,davangere,Davangere,Potato,Potato,FAQ,1200,1500,1400,8/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1500,1200,8/06/2023
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ,1400,1800,1600,8/06/2023
Karnataka,belgaum,Belgaum,Onion,Pusa-Red,FAQ,1000,1500,1200,8/06/2023
Karnataka,hassan,Channarayapatna,Onion,Local,FAQ,1000,1000,1000,8/06/2023
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ,1773,1773,1773,8/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,8/06/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,800,1600,1200,8/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1200,1500,1500,8/06/2023
Karnataka,hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,8/06/2023
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1150,850,8/06/2023
Karnataka,hassan,Hassan,Potato,Potato,FAQ,1666,1666,1666,8/06/2023
Karnataka,bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,8/06/2023
Karnataka,kolar,Gowribidanoor,Tomato,Tomato,FAQ,1900,2500,2200,8/06/2023
Karnataka,chikmagalur,Chikkamagalore,Onion,Other,FAQ,1450,1450,1450,8/06/2023
Karnataka,davangere,Davangere,Onion,Onion,FAQ,300,1350,850,9/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1000,1500,1500,9/06/2023
Karnataka,chikmagalur,Tarikere,Onion,Local,FAQ,1000,1333,1167,9/06/2023
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1000,750,9/06/2023
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ,2500,3500,3000,9/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,350,1700,880,9/06/2023
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ,1600,2000,1800,9/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1100,1400,1250,9/06/2023
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,500,1800,1100,9/06/2023
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,9/06/2023
Karnataka,hassan,Hassan,Potato,Potato,FAQ,1666,1666,1666,9/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2500,1500,9/06/2023
Karnataka,mandya,K.R. Pet,Tomato,Tomato,FAQ,1000,1000,1000,9/06/2023
Karnataka,udupi,Udupi,Tomato,Tomato,FAQ,2600,2800,2700,9/06/2023
Karnataka,shimoga,Shimoga,Potato,Local,FAQ,1600,2000,1800,9/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1200,1000,9/06/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1600,1700,1700,9/06/2023
Karnataka,kolar,Srinivasapur,Tomato,Tomato,FAQ,800,2667,1867,9/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,9/06/2023
Karnataka,bangalore,Doddaballa Pur,Tomato,Tomato,FAQ,1200,2000,1600,9/06/2023
Karnataka,belgaum,Belgaum,Onion,Pusa-Red,FAQ,1000,1500,1200,9/06/2023
Karnataka,shimoga,Shimoga,Tomato,Tomato,FAQ,2000,2600,2400,9/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Onion,FAQ,1700,2500,2000,9/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,670,2000,1470,9/06/2023
Karnataka,kolar,Chintamani,Onion,Onion,FAQ,1000,1500,1250,9/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,200,1050,580,9/06/2023
Karnataka,davangere,Davangere,Potato,Potato,FAQ,1200,1600,1400,9/06/2023
Karnataka,chikmagalur,Kadur,Tomato,Tomato,FAQ,1316,1665,1316,9/06/2023
Karnataka,chikmagalur,Kadur,Onion,Onion,FAQ,1281,1281,1281,9/06/2023
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ,1400,1600,1500,9/06/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,800,1600,1200,9/06/2023
Karnataka,bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,9/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1000,2000,1500,9/06/2023
Karnataka,bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,9/06/2023
Karnataka,bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,9/06/2023
Karnataka,kolar,Gowribidanoor,Tomato,Tomato,FAQ,1900,2500,2200,9/06/2023
Karnataka,hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,9/06/2023
Karnataka,bangalore,Doddaballa Pur,Onion,Onion,FAQ,1500,2000,1700,9/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,2000,2000,2000,9/06/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1200,2300,2000,9/06/2023
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ,1573,1973,1773,9/06/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2000,3000,2500,9/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,2600,2250,9/06/2023
Karnataka,belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,9/06/2023
Karnataka,bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,9/06/2023
Karnataka,mysore,Mysore (Bandipalya),Tomato,Tomato,FAQ,2000,2200,2100,9/06/2023
Karnataka,udupi,Udupi,Potato,Potato,FAQ,1600,1800,1700,9/06/2023
Karnataka,davangere,Davangere,Tomato,Tomato,FAQ,2000,2500,2200,9/06/2023
Karnataka,bangalore,Bangalore,Potato,Local,FAQ,1600,2000,1800,9/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,530,2660,1660,9/06/2023
Karnataka,hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,10/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1250,1400,1320,10/06/2023
Karnataka,kolar,Chintamani,Onion,Local,FAQ,1000,1500,1250,10/06/2023
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,500,1800,1300,10/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1200,1000,10/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2700,1500,10/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,10/06/2023
Karnataka,belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2500,2300,10/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,330,2460,1460,10/06/2023
Karnataka,kolar,Chickkaballapura,Potato,Local,FAQ,300,1600,1500,10/06/2023
Karnataka,hassan,Channarayapatna,Tomato,Tomato,FAQ,2000,2000,2000,10/06/2023
Karnataka,bellary,Hospet,Tomato,Tomato,Medium,800,800,800,10/06/2023
Karnataka,bellary,Hospet,Potato,Potato,FAQ,1600,2000,1800,10/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,200,1260,580,10/06/2023
Karnataka,kolar,Chickkaballapura,Onion,Beelary-Red,FAQ,1400,1600,1500,10/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1000,1500,1000,10/06/2023
Karnataka,hassan,Channarayapatna,Onion,Local,FAQ,1000,1000,1000,10/06/2023
Karnataka,belgaum,Belgaum,Potato,Local,FAQ,1500,2300,2000,10/06/2023
Karnataka,bellary,Hospet,Onion,Local,FAQ,800,1000,1000,10/06/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2500,3500,3000,10/06/2023
Karnataka,hassan,Arakalgud,Potato,Local,FAQ,2500,2500,2500,10/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,1800,2000,2000,10/06/2023
Karnataka,belgaum,Belgaum,Onion,Pusa-Red,FAQ,1300,1800,1500,10/06/2023
Karnataka,bagalkot,Bagalakot,Onion,Onion,FAQ,300,1300,800,10/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1000,2000,1500,10/06/2023
Karnataka,kolar,Mulabagilu,Tomato,Tomato,FAQ,333,1666,1066,10/06/2023
Karnataka,kolar,Gowribidanoor,Tomato,Tomato,FAQ,1900,2500,2200,10/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,350,2000,900,10/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,670,2200,1400,10/06/2023
Karnataka,kolar,Srinivasapur,Tomato,Tomato,FAQ,666,2733,1733,10/06/2023
Karnataka,mysore,Mysore (Bandipalya),Tomato,Tomato,FAQ,2000,2200,2100,11/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,800,2600,1500,11/06/2023
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ,2000,2000,2000,11/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1000,2000,1500,11/06/2023
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1150,850,11/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,11/06/2023
Karnataka,kolar,Gowribidanoor,Tomato,Tomato,FAQ,1900,2500,2200,11/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Beelary-Red,FAQ,1600,2800,1850,11/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3000,2700,11/06/2023
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2500,3200,3000,11/06/2023
Karnataka,hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,11/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,330,2330,1330,11/06/2023
Karnataka,kolar,Mulabagilu,Tomato,Tomato,FAQ,333,2000,1100,11/06/2023
Karnataka,kolar,Chintamani,Onion,Local,FAQ,100,1500,1250,11/06/2023
Karnataka,mandya,K.R. Pet,Tomato,Tomato,FAQ,1000,1000,1000,11/06/2023
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ,670,2330,1470,11/06/2023
Karnataka,davangere,Davangere,Onion,Onion,FAQ,300,1300,850,12/06/2023
Karnataka,hassan,Hassan,Potato,Potato,FAQ,1666,1666,1666,12/06/2023
Karnataka,bellary,Hospet,Potato,Potato,Medium,1500,1500,1500,12/06/2023
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ,1300,1600,1500,12/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,3000,1800,12/06/2023
Karnataka,bellary,Hospet,Tomato,Tomato,FAQ,800,1000,900,12/06/2023
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1250,1500,1350,12/06/2023
Karnataka,bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,12/06/2023
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ,500,2800,1600,12/06/2023
Karnataka,bangalore,Channapatana,Tomato,Tomato,FAQ,1500,3000,2500,12/06/2023
Karnataka,bangalore,Bangalore,Potato,Local,FAQ,1600,1800,1700,12/06/2023
Karnataka,kolar,Chintamani,Onion,Local,FAQ,1000,1500,1250,12/06/2023
Karnataka,bijapur,Bijapur,Onion,Onion,FAQ,200,1200,700,12/06/2023
Karnataka,kolar,Chintamani,Potato,Local,FAQ,1000,2000,1500,12/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1500,2000,1800,12/06/2023
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,12/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Onion,FAQ,1700,2600,2100,12/06/2023
Karnataka,shimoga,Shimoga,Potato,Local,FAQ,1600,2000,1800,12/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3000,2800,12/06/2023
Karnataka,kolar,Gowribidanoor,Onion,Onion,FAQ,1200,2000,1500,12/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,300,1320,630,12/06/2023
Karnataka,bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,12/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,300,1500,820,12/06/2023
Karnataka,udupi,Udupi,Potato,Potato,FAQ,1600,1800,1700,12/06/2023
Karnataka,chikmagalur,Kadur,Onion,Onion,FAQ,1189,1388,1281,12/06/2023
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ,2003,2403,2203,12/06/2023
Karnataka,bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1800,2200,2000,12/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1300,1000,12/06/2023
Karnataka,bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,12/06/2023
Karnataka,udupi,Udupi,Onion,Onion,FAQ,1600,1700,1700,12/06/2023
Karnataka,kolar,Srinivasapur,Tomato,Tomato,FAQ,733,3000,1666,12/06/2023
Karnataka,bangalore,Doddaballa Pur,Onion,Onion,FAQ,1500,2000,1700,12/06/2023
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ,1600,2000,1800,12/06/2023
Karnataka,bellary,Hospet,Onion,Local,FAQ,800,1000,800,12/06/2023
Karnataka,mandya,K.R. Pet,Tomato,Tomato,FAQ,1000,1000,1000,12/06/2023
Karnataka,tumkur,Tumkur,Potato,Other,FAQ,1650,2100,1820,12/06/2023
